Order Priority,Unit Price,Product Sub-Category,Customer,Order Date,Ship Mode,Discount,Row ID,Order ID,Customer Segment,Product Category,Product Container,Product Name,Product Base Margin,Region,State or Province,City,Postal Code,Ship Date,Shipping Cost,Profit,Quantity ordered new,Sales,Product Sub-Category
not specified,2.88,        Labels,Janice Fletcher2,5/28/2012,Regular Air,0.01,18606,88525,Corporate 654,Office Supplies,Small Box@@,Avery 49,0.36,Central,Illinois,Addison,60101,5/30/2012,0.5,1.32,2,5.9,Labels
high,2.84,Pens & Art Supplies,Bonnie Potter3,07-07-2010,Express Air,0.01,20847,88522,Corporate 654,Office Supplies,Wrap/ Bag,SANFORD Liquid Accent� Tank-Style Highlighters,0.54,West,Washington,Anacortes,98221,07-08-2010,0.93,4.56,4,13.01,Pens & Art Supplies
not specified,6.68,Paper,Bonnie Potter3,7/27/2011,Express Air,0.03,23086,88523,Corporate 654,Office Supplies,Small Box@,Xerox 1968,0.37,West,Washington,Anacortes,98221,7/28/2011,6.15,-47.64,7,49.92,Paper
not specified,5.68,"Scissors, Rulers and Trimmers",Bonnie Potter3,7/27/2011,Regular Air,0.01,23087,88523,Corporate 654,Office Supplies,Small Pack%,Acme� Preferred Stainless Steel Scissors,0.56,West,Washington,Anacortes,98221,7/28/2011,3.6,-30.51,7,41.64,"Scissors, Rulers and Trimmers"
not specified,205.99,Telephones and Communication,Bonnie Potter3,7/27/2011,Express Air,0,23088,88523,Corporate 654,Technology,Small Box@,V70,0.59,West,Washington,Anacortes,98221,7/27/2011,2.5,998.2023,8,1446.67,Telephones and Communication
medium,55.48,Paper,Bonnie Potter3,11-09-2011,Express Air,0.09,23597,88524,Corporate 654,Office Supplies,Small Box@,Xerox 194,0.37,West,Washington,Anacortes,98221,11-11-2011,14.3,1388.0523,37,2011.67,Paper
low,120.97,Office Machines,Bonnie Potter3,07-01-2013,Delivery Truck,0.08,25549,88526,Corporate 654,Technology,Jumbo Drum$,Canon S750 Color Inkjet Printer,0.38,West,Washington,Anacortes,98221,07-08-2013,26.3,1001.4453,12,1451.37,Office Machines
not specified,500.98,           Chairs & Chairmats,Ronnie Proctor5,12/13/2010,Delivery Truck,0.02,20228,90193,Home Office 763,Furniture,Jumbo Drum$,Global Troy� Executive Leather Low-Back Tilter,0.6,West,California,San Gabriel,91776,12/15/2010,26,4390.3665,12,6362.85,Chairs & Chairmats
low,6.48,Paper,Ronnie Proctor5,05-12-2012,Regular Air,0.08,19483,90197,Home Office 763,Office Supplies,Small Box@,Xerox 1930,0.36,West,California,San Gabriel,91776,5/21/2012,6.81,-141.26,18,113.25,Paper
high,90.24,Appliances,Dwight Hwang6,5/26/2011,Regular Air,0.01,24782,90194,Home Office 763,Office Supplies,Small Box@,Kensington 6 Outlet MasterPiece� HOMEOFFICE Power Control Center,0.56,West,California,San Jose,95123,5/26/2011,0.99,1045.4673,16,1515.17,Appliances
critical,6.48,Paper,Dwight Hwang6,12/29/2012,Regular Air,0.07,24563,90200,Home Office 763,Office Supplies,Small Box@,Xerox 21,0.37,West,California,San Jose,95123,12/31/2012,6.6,-13.86,4,28.61,Paper
critical,4.84,Pens & Art Supplies,Dwight Hwang6,12/29/2012,Regular Air,0.01,24564,90200,Home Office 763,Office Supplies,Wrap/ Bag,*Staples* Highlighting Markers,0.52,West,California,San Jose,95123,12/31/2012,0.71,57.5805,17,83.45,Pens & Art Supplies
critical,85.99,Telephones and Communication,Dwight Hwang6,12/29/2012,Regular Air,0.1,24565,90200,Home Office 763,Technology,Wrap/ Bag,Accessory34,0.55,West,California,San Jose,95123,12/31/2012,0.99,1176.5052,24,1705.08,Telephones and Communication
high,12.28,Paper,Leon Gill7,10/30/2012,Regular Air,0.05,21866,90198,Home Office 763,Office Supplies,Small Box@,Xerox 1933,0.38,East,Massachusetts,Fall River,2724,10/31/2012,4.86,72.9928,19,232.95,Paper
